"";"Instance";"Algorithm";"Fitness";"Normalized"
"51";"N-be75eec";"PLEDA";234132,5;0,00985985181676703
"52";"N-be75np";"PLEDA";713943,5;0,00425456837853594
"53";"N-be75oi";"PLEDA";110716,5;0,00408829640823596
"54";"N-be75tot";"PLEDA";976386;0,00421206793157888
"55";"N-stabu70";"PLEDA";357594;0,0135664474555325
"56";"N-stabu74";"PLEDA";535546;0,0107999179893349
"57";"N-stabu75";"PLEDA";546376,5;0,0125184573371191
"58";"N-t59b11xx";"PLEDA";208995;0,0015526466653927
"59";"N-t59d11xx";"PLEDA";144667,5;0,0182316055213975
"60";"N-t59f11xx";"PLEDA";122257,5;0,00214250734573947
"61";"N-t59i11xx";"PLEDA";8244395;0,00207588290083756
"62";"N-t59n11xx";"PLEDA";20806;0,00582951070336391
"63";"N-t65b11xx";"PLEDA";355041;0,00481278625847213
"64";"N-t65d11xx";"PLEDA";236772,5;0,00406538262548425
"65";"N-t65f11xx";"PLEDA";216061;0,00567891575968154
"66";"N-t65i11xx";"PLEDA";14446578,5;0,00156087121279925
"67";"N-t65l11xx";"PLEDA";16671;0,00287098510676476
"68";"N-t65n11xx";"PLEDA";31991;0,0051621730882856
"69";"N-t65w11xx";"PLEDA";137363973;0,00591293903304194
"70";"N-t69r11xx";"PLEDA";767812,5;0,00432666060644571
"71";"N-t70b11xx";"PLEDA";527247;0,00221793690234454
"72";"N-t70d11xx";"PLEDA";374487;0,00594067290463866
"73";"N-t70d11xxb";"PLEDA";365504;0,00263323773634332
"74";"N-t70f11xx";"PLEDA";358062;0,00631077660849873
"75";"N-t70i11xx";"PLEDA";24734287;0,00207760239317848
"76";"N-t70k11xx";"PLEDA";60470650;0,00310834959907153
"77";"N-t70l11xx";"PLEDA";25241;0,000475191066407952
"78";"N-t70n11xx";"PLEDA";52480,5;0,00424066484517304
"79";"N-t70u11xx";"PLEDA";21679700;0,00168996702952607
"80";"N-t70w11xx";"PLEDA";223139772,5;0,00526115255890254
"81";"N-t70x11xx";"PLEDA";283023126;0,00276854988303484
"82";"N-t74d11xx";"PLEDA";565447;0,0011340972885889
"83";"N-t75d11xx";"PLEDA";576436,5;0,00322927041832669
"84";"N-t75e11xx";"PLEDA";2730483;0,00318923021488972
"85";"N-t75i11xx";"PLEDA";63464024;0,00163150378096687
"86";"N-t75k11xx";"PLEDA";108638;0,00189261695637794
"87";"N-t75n11xx";"PLEDA";93267,5;0,00543310193330987
"88";"N-t75u11xx";"PLEDA";52640749,5;0,00128202712880848
"89";"N-tiw56n54";"PLEDA";91278,5;0,00300915306813465
"90";"N-tiw56n58";"PLEDA";124785,5;0,00350172490896314
"91";"N-tiw56n62";"PLEDA";175465;0,00707353648530119
"92";"N-tiw56n66";"PLEDA";223767;0,0122711843458532
"93";"N-tiw56n67";"PLEDA";224194,5;0,00813376807811249
"94";"N-tiw56n72";"PLEDA";356955,5;0,0224307537259069
"95";"N-tiw56r54";"PLEDA";102278,5;0,00650328321094145
"96";"N-tiw56r58";"PLEDA";128857,5;0,00548360706347246
"97";"N-tiw56r66";"PLEDA";206895,5;0,0123895537278451
"98";"N-tiw56r67";"PLEDA";221398,5;0,00633499394102599
"99";"N-tiw56r72";"PLEDA";267663;0,0110838939936378
"100";"N-usa79";"PLEDA";1790354,5;0,0130273883039891
